strategy,seed,total_requests,total_completed,total_cancelled,n_no_driver,CR,cancel_rate,no_driver_rate,mean_WT_min,mean_DU,acceptance_rate,total_assignments,total_rejections
greedy,42,3612,2295,871,432,0.6353820598006644,0.241140642303433,0.11960132890365449,3.3726573488041036,0.4436764031197431,0.2663820950622981,2309,6359
greedy,123,3597,2269,902,406,0.6308034473172088,0.25076452599388377,0.11287183764247985,3.5061811342297493,0.43987607016703584,0.2651453724082011,2289,6344
greedy,456,3626,2207,953,447,0.6086596800882516,0.26282404853833424,0.12327633756205185,3.4930669448161513,0.4364002905382369,0.2601987142022209,2226,6329
greedy,789,3766,2303,1023,432,0.6115241635687733,0.2716409984067977,0.11471056824216676,3.5771576804127077,0.46363418146903507,0.26062929965038906,2311,6556
greedy,1010,3639,2169,1023,437,0.596042868920033,0.281121187139324,0.1200879362462215,3.6578435954061352,0.41880481156672195,0.2450792936677539,2179,6712
greedy,1337,3696,2166,1030,491,0.586038961038961,0.2786796536796537,0.13284632034632035,3.7807617140898424,0.4306885342789598,0.24279973208305425,2175,6783
greedy,2024,3679,2200,1018,449,0.5979885838543082,0.2767056265289481,0.1220440337048111,3.7198368534446717,0.44038814967286627,0.25510321762195826,2212,6459
greedy,3141,3597,2156,1007,428,0.599388379204893,0.27995551848762856,0.11898804559355018,3.8324737929448065,0.42580733484431327,0.2530726910921222,2162,6381
greedy,5926,3587,2204,944,417,0.6144410370783384,0.26317256760524116,0.1162531363256203,3.6163971867925073,0.43951637310090186,0.24952359600941598,2226,6695
greedy,7777,3586,2184,974,422,0.6090351366424986,0.271611823759063,0.11767986614612382,3.7931801887285266,0.44549806107610274,0.25551277563878194,2190,6381
