checkpoint,seed,CR
dqn_ep50,10000,0.6113270405330372
dqn_ep50,10001,0.6061022539857064
dqn_ep50,10002,0.6158738938053098
dqn_ep50,10003,0.6036943744752309
dqn_ep50,10004,0.617055947854427
dqn_ep50,10005,0.6533259729505935
dqn_ep50,10006,0.6128170894526035
dqn_ep50,10007,0.6083445491251682
dqn_ep50,10008,0.601131160786426
dqn_ep50,10009,0.622290161200667
dqn_ep100,10000,0.592274678111588
dqn_ep100,10001,0.6082589285714286
dqn_ep100,10002,0.5952577888061759
dqn_ep100,10003,0.6154699196007762
dqn_ep100,10004,0.6082677165354331
dqn_ep100,10005,0.6515912897822446
dqn_ep100,10006,0.6409288824383164
dqn_ep100,10007,0.6195351411178749
dqn_ep100,10008,0.621005834954154
dqn_ep100,10009,0.6317650258362796
dqn_ep150,10000,0.6204620462046204
dqn_ep150,10001,0.6353575482406356
dqn_ep150,10002,0.5757093609122249
dqn_ep150,10003,0.6207568169170841
dqn_ep150,10004,0.6308223116733755
dqn_ep150,10005,0.642816742081448
dqn_ep150,10006,0.5900435255712732
dqn_ep150,10007,0.5876039710222699
dqn_ep150,10008,0.6219344171948195
dqn_ep150,10009,0.6023407729994557
dqn_ep200,10000,0.617196056955093
dqn_ep200,10001,0.6204217536071032
dqn_ep200,10002,0.6098297638660077
dqn_ep200,10003,0.5905951115834219
dqn_ep200,10004,0.5939828871101297
dqn_ep200,10005,0.6357974546439209
dqn_ep200,10006,0.6149120357442055
dqn_ep200,10007,0.6144708423326134
dqn_ep200,10008,0.6227690643591131
dqn_ep200,10009,0.5943669386680706
dqn_ep250,10000,0.6157690172126596
dqn_ep250,10001,0.6207366984993179
dqn_ep250,10002,0.5971654401744344
dqn_ep250,10003,0.621012101210121
dqn_ep250,10004,0.615665356541269
dqn_ep250,10005,0.6585094549499444
dqn_ep250,10006,0.5796710703693718
dqn_ep250,10007,0.597574421168688
dqn_ep250,10008,0.6129119394921664
dqn_ep250,10009,0.593574297188755
dqn_ep300,10000,0.6523013778950454
dqn_ep300,10001,0.588363240891789
dqn_ep300,10002,0.5923097900190891
dqn_ep300,10003,0.6275395033860045
dqn_ep300,10004,0.623948401570387
dqn_ep300,10005,0.6336549375709422
dqn_ep300,10006,0.6283090221501891
dqn_ep300,10007,0.6443404504241006
dqn_ep300,10008,0.6364906398435317
dqn_ep300,10009,0.6227511763077774
dqn_final,10000,0.6523013778950454
dqn_final,10001,0.588363240891789
dqn_final,10002,0.5923097900190891
dqn_final,10003,0.6275395033860045
dqn_final,10004,0.623948401570387
dqn_final,10005,0.6336549375709422
dqn_final,10006,0.6283090221501891
dqn_final,10007,0.6443404504241006
dqn_final,10008,0.6364906398435317
dqn_final,10009,0.6227511763077774
